App_name,Category,User_Review,Sentiments
brainly,Education,"�Horrible. This app has changed so much. I've placed #1 multiple times in diamond League and haven't gotten my prize gems for it. Ads are thorough rubbish and nobody would pay exorbitant prices for plus. Quality of content has gotten worse, with Japanese you cannot practise hiragana when you want to, levels jump too high all of a sudden like ""flirting"" and ""idioms"" in Portuguese. : ) �",Negative
brainly,Education,The app is not responding,Negative
brainly,Education,Not working properly plz fix the problem,Negative
brainly,Education,App is not good,Negative
brainly,Education,not working properly,Negative
brainly,Education,app is not working,Negative
brainly,Education,this app will be not started some issue,Negative
brainly,Education,so many issues,Negative
brainly,Education,app is troubling,Negative
brainly,Education,Its annoying,Negative
brainly,Education,So much ads in this app,Negative
brainly,Education,so many issues in starting,Negative
brainly,Education,not working properly,Negative
brainly,Education,so many spammers,Negative
brainly,Education, it shows brainly not responding.,Negative
brainly,Education,not working in all platform sychronously,Negative
brainly,Education,App is not good,Negative
brainly,Education, it saying NO CONNECTION! pls fix this I need thiss.,Negative
brainly,Education,I am giving this app 3 stars because this app has too much bugs,Negative
brainly,Education,If there is a section of from grallery then it will better but fine,Negative
brainly,Education,"so many problem, gallery feature must be include",Negative
brainly,Education,App is frustrating,Negative
brainly,Education,I want one featured in these mind blowing app that questions are also share with gallery,Negative
brainly,Education,Not working,Negative
brainly,Education,"it is gettingworse day by day , cannot directly open link with browser to app,not able to change email , not able change the language of voice connect , not getting rank promotion, difficulty in answering question",Negative
brainly,Education,Something went wrong please try again,Negative
brainly,Education,I am disappointed with the app manay features are not working properly,Negative
brainly,Education,Why this app keep saying Seem like there's a connection problem,Negative
brainly,Education,This helps me alot. But why can not i use it now  It say No internet access But i have a good connection.,Negative
brainly,Education,The screen becomes totally black after every update ,Negative
brainly,Education,App have so many issue not working on website as same as phone,Negative
brainly,Education,Please add galaries,Negative
brainly,Education,"Not good, app is crashing",Negative
brainly,Education,"include some more excited features, not interesting features",Negative
brainly,Education,"App is not better, some features are not working properly",Negative
brainly,Education,Press Scan And Solve its Crashing sometimes and its Full Of White FOW,Negative
brainly,Education,"The problem have to fix, not perform accurately",Negative
brainly,Education,"app features are not good, must have gallery feature",Negative
brainly,Education,Needs improvement in features,Negative
brainly,Education,not open same as system,Negative
brainly,Education,App is not so much good,Negative
brainly,Education,Add some more features,Negative
brainly,Education,Remove useless features,Negative
brainly,Education,App is not working,Negative
brainly,Education,Please put back the video ad option,Negative
brainly,Education,These is not fast to get an answer.,Negative
brainly,Education,Some times it has error,Negative
